Lang Code	EN	TR	
^text_play	Challenge Mode!	Meydan Okuma!	
^text_sele	Free Mode	Serbest Mod
^text_settings	Browse Mascots!	Maskotlar!
^text_gold	Gold:	Altın:
^text_back	Back	Geri
^text_100	100 Gold	100 Altın
^text_200	200 Gold	200 Altın
^text_300	300 Gold	300 Altın
^text_400	400 Gold	400 Altın
^text_500	500 Gold	500 Altın
^text_600	600 Gold	600 Altın
^text_cat	Categories	Kategoriler
^text_cat1	Enjoy Colors	Renkleri Keşfet
^text_cat2	Memory	Hafıza
^text_cat3	Find Your Way!	Doğru Yolu Bul!
^text_cat4	Explore Numbers!	Sayıları Keşfet!
^text_cat5	Return To The Main Menu	Ana Menüye Dön
^text_music	Music:	Müzik:
^text_sound	Sound:	Ses:
^text_lang	Language:	Dil:
^text_tit	Settings	Ayarlar
^text_gotit	Got it!	Anladım!
^text_tut11	-Four random games in a row.	-Arka arkaya 4 oyun.
^text_tut12	-You can play only one time for a day.	-Günde sadece 1 kere oynanabilir.
^text_tut13	-Your performance will be rewarded.	-Performansına göre ödül kazan.
^text_tut2	-Select one of 8 different game from 4 category.	- Dört farklı kategorideki sekiz oyundan birini seç ve oyna.
^text_tut31	- Browse mascots.	-Maskotları görüntüle. 
^text_tut32	-Select and unlock them with gold.	-Altınınla maskotlardan bir tanesini aç ve kullan.
^text_session	Session Time:	Oturum Süresi:
